Epoch,Training Loss,Accuracy,Positive Mean,Negative Mean,Positive Std,Negative Std,Positive Min,Negative Min,Positive Max,Negative Max
0,0.00022234077458087282,1.0,0.043664027,1.9472728,0.051160507,0.10196463,0.0030621276,0.6412977,0.49936423,2.0
1,2.2368101017185715e-05,1.0,0.028651515,1.9909377,0.070090316,0.032849472,0.0011404606,1.0141702,0.92189616,2.0000002
2,2.3941048900322878e-05,1.0,0.015798787,1.9937336,0.03938787,0.054554537,0.00036033965,0.8204491,0.8067051,2.0000005
3,5.578713283511479e-06,1.0,0.06479939,1.9901423,0.12636411,0.042408604,0.00032651413,1.1660671,0.8982867,2.0000005
4,2.2333244146147863e-07,1.0,0.061525993,1.9948062,0.12748355,0.028495412,0.000306337,1.335525,0.9503451,2.0000005
5,1.4301508153770484e-07,1.0,0.034933757,1.9942181,0.08264653,0.04241604,0.00025700193,1.2025255,0.81250393,2.0000005
6,8.148094247870085e-09,1.0,0.05404096,1.9979867,0.12474216,0.021334436,0.00029233034,1.3791982,0.97759676,2.0000005
7,0.0,1.0,0.05404096,1.9979867,0.12474216,0.021334436,0.00029233034,1.3791982,0.97759676,2.0000005
8,0.0,1.0,0.05404096,1.9979867,0.12474216,0.021334436,0.00029233034,1.3791982,0.97759676,2.0000005
9,0.0,1.0,0.05404096,1.9979867,0.12474216,0.021334436,0.00029233034,1.3791982,0.97759676,2.0000005
